brand_mf,type,dealership_name,dealership_loc,dealership_evaluation,year,km,price
OPEL  Astra,Astra Sports Tourer 1.6 CDTI Start-Stop Innovation ,Bull-Car Kft.,(Kaposvár),Minősített Prémium kereskedő,2018. 03.,131 823 km,3 996 000 Ft
DACIA  Duster,DUSTER 1.2 TCe Exception EURO6 Mo-i - EGYGAZDÁS - 53e KM FUTÁS - VÉGIG SZERVIZKÖNYVES!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2015. 01.,53 455 km,3 998 000 Ft
TOYOTA  Auris,Auris Touring Sports 1.33 Active ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2014. 10.,146 157 km,3 999 000 Ft
TOYOTA  Auris,Auris Touring Sports 1.33 Active ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2014. 10.,146 157 km,3 999 000 Ft
KIA  Cee'd,CEE'D 1.6 CRDI EX Limited 1 Év garanciával!Magyarországi!Leinformálható!Áfás!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2017. 05.,141 521 km,3 999 000 Ft
MINI  Mini,MINI COOPER 1.6 BAKER STREET!1 Év garanciával! 20% befizetéstől elvihető!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2014. 01.,69 000 km,3 999 000 Ft
OPEL  Astra,ASTRA K Sports Tourer 1.5 CDTI Elegance 1 Év garanciávalMagyarországi!Törésmentes!Végig vezetett szerv.K!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2020. 06.,180 000 km,3 999 000 Ft
FIAT  Tipo,Tipo 1.4 16V Lounge ,Bull-Car Kft.,(Kaposvár),Minősített Prémium kereskedő,2017. 12.,40 304 km,3 999 999 Ft
RENAULT  Master,"Master 2.3 dCi 125 L3 3,5t Pack Comfort ",Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 11.,181 700 km,3 989 000 Ft  + Áfa
OPEL  Mokka,Mokka 1.7 CDTI Cosmo AWD Start-Stop ,Bécsi Autópark Kft.,(III. kerület),Minősített Prémium kereskedő,2015. 02.,111 000 km,4 180 000 Ft
HYUNDAI  i20,I20 ACTIVE 1.4i MPi Life AC SZERVIZKÖNYV - MEGKÍMÉLT ÁLLAPOT!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2016. 01.,133 123 km,4 198 000 Ft
RENAULT  Clio,CLIO Grandtour 1.2 16V Limited Mo-i - 35e KM FUTÁS - SZERVIZKÖNYVES - EGYGAZDÁS!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2017. 01.,35 454 km,4 198 000 Ft
VOLKSWAGEN  Jetta,Jetta 1.4 TSI BMT Comfortline ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2016. 02.,177 289 km,4 199 000 Ft
VOLKSWAGEN  Jetta,Jetta 1.4 TSI BMT Comfortline ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2016. 02.,177 289 km,4 199 000 Ft
FORD  EcoSport,ECOSPORT 1.0 EcoBoost Business 1 Év garaciával!Magyarországi!Leinformálható!Áfás!Azonnal Elvihető!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2017. 04.,98 000 km,4 199 000 Ft
SKODA  Octavia,Octavia 1.0 TSI Ambition,Postaautó Duna Zrt.,(Debrecen),Márkakereskedő,2018. 06.,114 856 km,4 200 000 Ft
NISSAN  Micra,Micra 1.0 Acenta ,3G Car Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2018. 03.,45 053 km,4 249 000 Ft
VOLKSWAGEN  Golf,Golf 1.6 TDI Comfortline ,3G Car Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2013. 06.,173 056 km,4 250 000 Ft
OPEL  Mokka,Mokka 1.6 CDTI Cosmo Start-Stop ,M3 Autópark Kft.,(XV. kerület),Minősített Prémium kereskedő,2015. 06.,168 228 km,4 280 000 Ft
VOLVO  S60,S60 1.6 D ,Bécsi Autópark Kft.,(III. kerület),Minősített Prémium kereskedő,2014. 07.,132 700 km,4 280 000 Ft
PEUGEOT  508,508 1.6 BlueHDi Active ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2017. 10.,149 147 km,4 289 000 Ft
RENAULT  Mégane,Mégane Grandtour 1.5 dCi Zen ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2017. 06.,141 859 km,4 290 000 Ft
FORD  Mondeo,MONDEO IV 1.5 EcoBoost Titanium Mo-i - MÁRKASZERVIZES MÚLT - TÖRÉSMENTES - AKCIÓS!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2017. 01.,156 925 km,4 298 000 Ft
VOLKSWAGEN  Caddy,CADDY 2.0 TDI Maxi SCR BMT Trendline KAVOSZ!1 Év garanciávalMagyarországi!Gyári féyezés!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2019. 06.,176 300 km,4 299 000 Ft  + Áfa
SKODA  Octavia,Octavia Combi 1.6 CR TDI Style,Autó Néró Kelenföld Kft.,(XI. kerület),Minősített Prémium kereskedő,2019. 03.,185 000 km,4 299 000 Ft
KIA  Cee'd,Cee'd SW 1.4 CVVT LX,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2015. 02.,64 309 km,4 299 000 Ft
VOLKSWAGEN  Jetta,Jetta 1.4 TSI BMT Comfortline ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2016. 02.,153 401 km,4 349 000 Ft
VOLKSWAGEN  Jetta,Jetta 1.4 TSI BMT Comfortline ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2016. 02.,153 401 km,4 349 000 Ft
SKODA  Octavia,Octavia Combi 1.6 CR TDI Style,Postaautó Duna Zrt.,(Debrecen),Márkakereskedő,2018. 08.,195 380 km,4 370 000 Ft
FORD  Focus,Focus 1.5 EcoBlue Technology ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2019. 05.,146 929 km,4 389 000 Ft
FORD  Fiesta,Fiesta 1.5 TDCi Technology ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2020. 01.,129 683 km,4 389 000 Ft
FORD  Fiesta,Fiesta 1.5 TDCi Technology ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2020. 01.,133 153 km,4 389 000 Ft
TOYOTA  Verso,Verso 1.6 D-4D Active ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2014. 05.,156 394 km,4 390 000 Ft
SKODA  Rapid,Rapid 1.0 TSI Family ,Hexa Autókereskedés,(Nyíregyháza),Minősített Prémium kereskedő,2018. 05.,39 000 km,4 390 000 Ft
FORD  Focus,Focus 1.5 TDCI Technology ,Tipp Autó,(Debrecen),Márkakereskedő,2018. 04.,137 612 km,4 449 000 Ft
CITROEN  C3 Aircross,C3 Aircross 1.2 PureTech Feel EURO 6.2 ,M3 Autópark Kft.,(XV. kerület),Minősített Prémium kereskedő,2018. 01.,74 266 km,4 480 000 Ft
CITROEN  C3 Aircross,C3 Aircross 1.2 PureTech Feel EURO 6.2 ,M3 Autópark Kft.,(XV. kerület),Minősített Prémium kereskedő,2018. 01.,74 215 km,4 480 000 Ft
FORD  EcoSport,EcoSport 1.0 EcoBoost Trend ,Bécsi Autópark Kft.,(III. kerület),Minősített Prémium kereskedő,2018. 03.,123 000 km,4 480 000 Ft
FORD  Courier,Tourneo Courier 1.0 Trend Start&Stop ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2019. 07.,10 223 km,4 489 000 Ft  + Áfa
FIAT  500X,500X 2.0 Multijet Cross Plus 4x4 (Automata) ,Master Car,(Szolnok),Minősített Prémium kereskedő,2015. 09.,152 278 km,4 490 000 Ft
KIA  Venga,VENGA 1.6 CVVT Navi Magyarországi / első tulajdonostól / garanciális / vezetett szervizkönyv,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2019. 07.,126 728 km,4 490 000 Ft
SKODA  Octavia,Octavia Combi 2.0 CR TDI Elegance DSG ,Vorenus Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2013. 09.,133 000 km,4 490 000 Ft
SKODA  Octavia,Octavia Combi 1.6 CR TDI Style ,Tipp Autó,(Debrecen),Márkakereskedő,2017. 11.,175 359 km,4 490 000 Ft
SKODA  Octavia,Octavia Combi 1.6 CR TDI Ambition ,Tipp Autó,(Debrecen),Márkakereskedő,2017. 04.,162 639 km,4 490 000 Ft
SKODA  Octavia,Octavia 1.6 CR TDI Style ,Tipp Autó,(Debrecen),Márkakereskedő,2017. 11.,162 273 km,4 490 000 Ft
VOLKSWAGEN  Polo,Polo 1.0 MPI Trendline ,Master Car,(Szolnok),Minősített Prémium kereskedő,2018. 05.,48 916 km,4 490 000 Ft
NISSAN  Juke,JUKE 1.6 N-Connecta Xtronic Mo-i - SZERVIZKÖNYVES - SÉRÜLÉSMENTES - MÁSODIK TULAJTÓL!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2015. 01.,127 414 km,4 498 000 Ft
TOYOTA  Corolla Verso/Verso,COROLLA VERSO/VERSO Verso 1.6 Live Mo-i - ELSŐ TULAJTÓL - ELEKTRONIKUS MÚLTTAL!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2015. 01.,141 940 km,4 498 000 Ft
SUZUKI  Ignis,IGNIS 1.2 GL Mo-i - CSUPÁN 11e KM - MÁRKASZERVIZES - SZALON ÁLLAPOT!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2017. 01.,11 756 km,4 498 000 Ft
PEUGEOT  Partner,Partner 1.5 BlueHDi 100 Pro L2 1000 ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2020. 01.,100 498 km,4 499 000 Ft  + Áfa
TOYOTA  Auris,Auris Touring Sports 1.33 Active Comfort ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2017. 03.,169 365 km,4 499 000 Ft
TOYOTA  Auris,Auris Touring Sports 1.33 Active Comfort ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2017. 03.,169 365 km,4 499 000 Ft
PEUGEOT  Partner,Partner 1.5 BlueHDi 100 Pro L2 1000 ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2020. 01.,100 498 km,4 499 000 Ft  + Áfa
VOLKSWAGEN  Golf,Golf 1.4 TSi BMT Trendline,Autó Néró Kelenföld Kft.,(XI. kerület),Minősített Prémium kereskedő,2015. 05.,74 000 km,4 499 000 Ft
FORD  Focus,FOCUS 1.5 EcoBlue Technology 1 Év garanciávalMagyarországi!Áfás!Azonnal Elvihető!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2019. 02.,197 000 km,4 499 000 Ft
TOYOTA  Verso,Verso 1.6 D-4D Executive Skyview ,Bull-Car Kft.,(Kaposvár),Minősített Prémium kereskedő,2016. 06.,154 964 km,4 499 000 Ft
KIA  Rio,RIO 1.2 DPI Silver Vision / 84 le / 10e km / újszerű,Auto Palace Délpest Kft.,(XVIII. kerület),Márkakereskedő,2021. 09.,10 590 km,4 549 000 Ft
PEUGEOT  508,508 SW 1.6 BlueHDi Active ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 11.,85 258 km,4 589 000 Ft
PEUGEOT  508,508 1.6 e-THP Allure EAT6,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2015. 03.,136 000 km,4 290 000 Ft
OPEL  Corsa,Corsa 1.2 Edition ,Tipp Autó,(Debrecen),Márkakereskedő,2020. 06.,71 508 km,4 590 000 Ft
FIAT  500X,500X 2.0 Multijet Cross Plus 4x4 (Automata) ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2017. 05.,191 531 km,4 590 000 Ft
NISSAN  Juke,N-CONNECTA 1.2 DIG-T (1 ÉV GARANCIA),Men's Car Kft.,(Győr),Minősített Prémium kereskedő,2016. 05.,73 205 km,4 595 000 Ft
FORD  Focus,Focus 1.5 TDCI Technology ,Tipp Autó,(Debrecen),Márkakereskedő,2018. 04.,112 492 km,4 649 000 Ft
HYUNDAI  i30,i30 1.6 CRDi MP Comfort DCT,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2019. 04.,173 000 km,4 690 000 Ft
FORD  Mondeo,Mondeo Kombi 1.5 EcoBoost Business Aut.,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2017. 07.,139 460 km,4 690 000 Ft
VOLKSWAGEN  Polo,Polo 1.0 TSI Comfortline,Expressive Automobil Kft.,(Debrecen),Minősített Prémium kereskedő,2020. 10.,112 000 km,4 698 000 Ft
KIA  Venga,VENGA 1.4 CVVT Navi Mo-i - CSUPÁN 46e KM - MÁRKASZERVIZES - ÚJSZERŰ!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2018. 01.,46 021 km,4 698 000 Ft
HYUNDAI  i40,i40 1.7 CRDi BUSINESS 1 TULAJ!!!,Rubin Autókereskedés,(Pápa),Minősített Prémium kereskedő,2018. 02.,186 173 km,4 699 000 Ft
NISSAN  Qashqai,QASHQAI 1.2 DIG-T N-Tec Új korától 1 tulajdonos!1 Év garanciávalMagyarországi!Törésmentes!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2014. 12.,76 000 km,4 699 000 Ft
PEUGEOT  308,308 SW 1.5 BlueHDi Access EURO6.2 1 Év garanciávalMagyarországi!Vezetett Szerv.K!Áfás!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2020. 03.,135 000 km,4 699 000 Ft
OPEL  Zafira,Zafira Tourer 1.6 T Edition Start-Stop EURO6,Autó Néró Kelenföld Kft.,(XI. kerület),Minősített Prémium kereskedő,2017. 08.,150 000 km,4 699 000 Ft
VOLKSWAGEN  Up!,e-Up! ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2018. 05.,43 373 km,4 489 000 Ft
MAZDA  Mazda 6,6 2.2 CD Attraction Magyarországi / navigáció / kétzónás klíma / 1 év garancia,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2016. 01.,151 385 km,4 790 000 Ft
SKODA  Octavia,Octavia Combi 1.6 CR TDI Style ,Tipp Autó,(Debrecen),Márkakereskedő,2018. 10.,183 854 km,4 790 000 Ft
OPEL  Antara,Antara 2.2 CDTI Cosmo ,M3 Autópark Kft.,(XV. kerület),Minősített Prémium kereskedő,2017. 04.,101 832 km,4 790 000 Ft
CITROEN  C3,C3 1.2 PureTech Feel Plus S&S ,Fábián Kft.,(XI. kerület),Márkakereskedő,2022. 08.,31 417 km,4 790 000 Ft
PEUGEOT  2008,2008 1.2 PureTech Active Mo-i - CSUPÁN 48e KM FUTÁS - VÉGIG MÁRKASZERVIZES!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2017. 01.,48 978 km,4 798 000 Ft
NISSAN  Micra,MICRA 0.9 IG-T N-Way Mo-i - 28e KM FUTÁS - ÚJSZERŰ - VÉGIG MÁRKASZERVIZES!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2018. 01.,28 488 km,4 798 000 Ft
TOYOTA  Yaris,Yaris 1.5 HSD Active Design (Automata) ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2015. 12.,81 887 km,4 799 000 Ft
VOLKSWAGEN  Golf,GOLF VII 1.4 TSi BMT Trendline / magyarországi / 125 le / 1 év garancia,Auto Palace Délpest Kft.,(XVIII. kerület),Márkakereskedő,2017. 06.,117 892 km,4 799 000 Ft
VOLKSWAGEN  Golf,Golf Variant 2.0 TDI BMT Allstar Euro 6 ,Bull-Car Kft.,(Kaposvár),Minősített Prémium kereskedő,2016. 05.,164 175 km,4 799 000 Ft
FORD  C-Max,C-Max 1.5 TDCi DPF Technology ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2018. 02.,158 099 km,4 650 000 Ft
RENAULT  Clio,Clio 1.0 SCe Life,Good Life C-Ar-T Kft.,(Szada),Minősített Prémium kereskedő,2021. 03.,38 000 km,4 850 000 Ft
FORD  Mondeo,MONDEO 1.5 EcoBoost Business 1 év garancia / magyarországi / 1 tulajdonostól,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2017. 01.,96 317 km,4 890 000 Ft
OPEL  Insignia,Insignia Sports Tourer 2.0 CDTI Cosmo (Automata) ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2017. 03.,195 384 km,4 890 000 Ft
HYUNDAI  i30,I30 1.6 T-GDi i30 Turbo / 1 év garancia / 186 lóerős változat,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2015. 08.,107 348 km,4 890 000 Ft
LADA  Vesta,VESTA Cross 1.6 Lux (Automata) Mo-i - EGYGAZDÁS - VÉGIG MÁRKASZERVIZES - SÉRÜLÉSMENTES!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2019. 01.,71 924 km,4 898 000 Ft
VOLVO  V40,V40 Cross Country 2.0 D [D2] Momentum 1 Év garanciával!Végig Vezetett Szerv.K.!Magas felszereltséggel!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2017. 10.,173 000 km,4 899 000 Ft
VOLKSWAGEN  Golf,Golf Variant 1.6 TDI BMT SCR Comfortline,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2019. 03.,177 588 km,4 899 000 Ft
VOLKSWAGEN  Transporter,Transporter 2.0 TDi BMT HT E6 (3 személyes ) ,B-A Autókereskedés és Autókölcsönző,(Keszthely),Minősített Prémium kereskedő,2016. 06.,176 300 km,4 950 000 Ft
VOLKSWAGEN  Golf,Golf Variant 1.5 TSI ACT Comfortline ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2019. 04.,174 586 km,4 889 000 Ft
VOLKSWAGEN  Up!,e-Up! ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2018. 05.,43 383 km,4 989 000 Ft
VOLKSWAGEN  Up!,e-Up! ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2018. 05.,43 373 km,4 789 000 Ft
TOYOTA  Yaris,Yaris 1.5 Dual VVT-iE Active ,3G Car Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2021. 05.,70 930 km,4 990 000 Ft
SKODA  Scala,Scala 1.0 TSI Ambition,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2020. 11.,73 000 km,4 990 000 Ft
OPEL  Zafira,Zafira Tourer 2.0 CDTI Cosmo Start-Stop ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2016. 06.,101 896 km,4 990 000 Ft
SSANGYONG  XLV,XLV 1.6 e-XGI STD Plus ,Tipp Autó,(Debrecen),Márkakereskedő,2018. 09.,94 436 km,4 990 000 Ft
SKODA  Octavia,Octavia Combi 1.6 CR TDI Style ,Tipp Autó,(Debrecen),Márkakereskedő,2019. 05.,161 176 km,4 990 000 Ft
VOLKSWAGEN  Golf,Golf Variant 2.0 TDI BMT SCR Comfortline DSG,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2019. 10.,178 000 km,4 990 000 Ft
SKODA  Octavia,Octavia Combi 1.6 CR TDI Style ,Tipp Autó,(Debrecen),Márkakereskedő,2019. 10.,174 257 km,4 990 000 Ft
DACIA  Lodgy,Lodgy 1.3 TCe Stepway (7 személyes ) ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2020. 03.,67 441 km,4 990 000 Ft
SEAT  Leon,Leon 1.4 TSi Style ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2018. 08.,87 615 km,4 990 000 Ft
KIA  Cee'd,Ceed SW 1.0 T-GDI Silver,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2019. 10.,79 998 km,4 890 000 Ft
BMW  X1,X1 sDrive20d EfficientDynamics,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2014. 03.,184 000 km,4 990 000 Ft
DACIA  Duster,DUSTER 1.6 SCe Prestige EURO6.2 Mo-i - EGYGAZDÁS - 61e KM - VÉGIG MÁRKASZERVIZES!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2018. 01.,61 796 km,4 998 000 Ft
OPEL  Mokka X,MOKKA X 1.6 Selection Start-Stop Mo-i - EGYGAZDÁS - GYÖNYÖRŰ - MÁRKASZERVIZES MÚLT!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2018. 01.,107 223 km,4 998 000 Ft
FORD  Focus,FOCUS III 1.6 Ti-VCT Technology Powershift Mo-i - SZERVIZKÖNYVES - TÖRÉSMENTES!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2018. 01.,96 364 km,4 998 000 Ft
TOYOTA  Auris,AURIS 1.6 Active MY17 Tempomat 1 Év garanciávalMagyarországi!Törésmentes!Vezetett Szerv.K.!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2018. 02.,123 000 km,4 999 000 Ft
RENAULT  Captur,CAPTUR 0.9 TCe Energy Life / Magyarországi 1. tulajdonos / 25e km / sérülésmentes,Auto Palace Délpest Kft.,(XVIII. kerület),Márkakereskedő,2019. 10.,25 135 km,4 999 000 Ft
TOYOTA  Auris,Auris 1.8 HSD Executive TSS (Automata) ,Cooper Car,(Gyömrő),Minősített Prémium kereskedő,2015. 12.,240 150 km,4 999 999 Ft
DACIA  Duster,DUSTER 1.6 SCe Prestige Mo-i - EGYGAZDÁS - SÉRÜLÉSMENTES - SZERVIZKÖNYVES!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2018. 01.,80 754 km,5 098 000 Ft
VOLKSWAGEN  Polo,POLO VI 1.0 TSI Comfortline Mo-i - SÉRÜLÉSMENTES -- LEKÉRDEZHETŐ 55e KM FUTÁSSAL!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2018. 01.,55 544 km,5 098 000 Ft
MAZDA  CX-5,ATTRACTION SKYACTIV-D 150 6AT AWD (1 ÉV GARANCIA),Men's Car Kft.,(Győr),Minősített Prémium kereskedő,2014. 06.,150 686 km,5 150 000 Ft
VOLKSWAGEN  Passat,Passat Variant 2.0 TDI BMT Comfortline ,Bull-Car Kft.,(Kaposvár),Minősített Prémium kereskedő,2015. 01.,159 300 km,5 175 000 Ft
VOLKSWAGEN  Up!,e-Up! ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2018. 05.,43 972 km,5 189 000 Ft
SKODA  Octavia,Octavia Combi 1.5 TSI ACT Style ,Tipp Autó,(Debrecen),Márkakereskedő,2019. 05.,169 168 km,5 190 000 Ft
OPEL  Combo,COMBO C Cargo 1.5 DTH L1H1 2.0t Dynamic Start&Stop Mo-i - EGYGAZDÁS - 54e KM - EXTRÁS - ÚJSZERŰ!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2019. 01.,54 495 km,5 198 000 Ft  + Áfa
RENAULT  Clio,CLIO 1.0 TCe Zen Mo-i - CSUPÁN 37e KM - SZERVIZKÖNYVES - ÚJSZERŰ!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2019. 01.,37 725 km,5 198 000 Ft
TOYOTA  Avensis,Avensis 2.0 D-4D Executive ,Bull-Car Kft.,(Kaposvár),Minősített Prémium kereskedő,2016. 10.,96 090 km,5 199 000 Ft
FORD  C-Max,Grand C-Max 1.5 EcoBoost Technology,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2017. 12.,59 000 km,4 990 000 Ft
DACIA  Duster,Duster 1.5 Blue dCi Prestige 4WD ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2019. 04.,150 789 km,5 290 000 Ft
KIA  Cee'd,Ceed SW 1.4 MPI Silver ,Tipp Autó,(Debrecen),Márkakereskedő,2019. 12.,79 236 km,5 290 000 Ft
MINI  Mini,1.5 D 5 ajtós,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2018. 05.,146 621 km,5 290 000 Ft
SKODA  Octavia,OCTAVIA Combi 1.6 CR TDI Style ÁFÁS / magyarországi / gyári fényezés / 1 év garancia,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2017. 05.,79 343 km,5 290 000 Ft
PEUGEOT  Expert,Expert 2.0 BlueHDi L2 (3 sz.) Premium,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2019. 07.,166 594 km,5 299 000 Ft  + Áfa
RENAULT  Kadjar,KADJAR 1.5 dCi Energy Premiere Edition 1 Év garanciávalMagyarországi!50.000 KM!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2015. 08.,50 000 km,5 299 000 Ft
PEUGEOT  Partner,Partner 1.5 BlueHDi 100 Premium L1 (3 személyes ) ,Fábián Kft.,(XI. kerület),Márkakereskedő,2021. 09.,39 155 km,5 300 000 Ft  + Áfa
MAZDA  Mazda 3,Mazda 3 Sport 2.0 Revolution (Automata) ,3G Car Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2015. 05.,81 100 km,5 345 000 Ft
NISSAN  X-Trail,X-TRAIL 1.6 DIG-T Visia 1 év garancia / magyarországi / 1 tulajdonsotól,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2016. 11.,143 800 km,5 390 000 Ft
KIA  Stonic,STONIC 1.25 MPI LX Exclusive Mo-i - VALÓS 25e KM - 2025-IG GYÁRI GAR - FRISS SZERVIZ!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2018. 01.,25 470 km,5 398 000 Ft
TOYOTA  Avensis,Avensis Touring Sports 2.0 D-4D Executive,SunsetCars,(Tatabánya),Minősített Prémium kereskedő,2016. 05.,169 270 km,5 399 000 Ft
SKODA  Superb,SUPERB 1.6 TDI Ambition ÁFÁS / sérülésmentes / magyarországi,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2017. 04.,170 920 km,5 448 000 Ft
MAZDA  Mazda 6,6 Sport 2.2 CD AWD Attraction 1 Év garanciávalMagyarországi!Azonnal Elvihető!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2016. 09.,127 000 km,5 449 000 Ft
DACIA  Logan,Logan 1.0 TCe Comfort LPG ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2022. 04.,14 879 km,5 450 000 Ft
MAZDA  CX-5,CX-5 2.0i Challenge magyarországi / első tulajtól / végig vezetett szervízkönyv / 1 év garancia,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2015. 03.,152 150 km,5 490 000 Ft
VOLKSWAGEN  Golf,e-Golf ,Master Car,(Szolnok),Minősített Prémium kereskedő,2016. 06.,157 866 km,5 490 000 Ft
FORD  Kuga,KUGA 2.0 TDCi Titanium Technology AWD ÁFÁS / Magyarországi / 1 tulajdonostól,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2016. 02.,99 900 km,5 490 000 Ft
FIAT  Dobló,DOBLÓ Panorama 1.4 T-Jet Easy (7 személyes) Mo-i - EGYGAZDÁS - MÁRKASZERVIZES - SÉRÜLÉSMENTES!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2020. 01.,74 221 km,5 498 000 Ft
OPEL  Crossland X,CROSSLAND X 1.2 Innovation Mo-i - EGYGAZDÁS - 57e KM - MÁRKASZERVIZES - EGYGAZDÁS!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2019. 01.,57 024 km,5 498 000 Ft
