brand_mf,type,dealership_name,dealership_loc,dealership_evaluation,year,km,price
SKODA  Octavia,Octavia Combi 1.6 CR TDI Style DSG,Magánszemély,(Gyula),Minősített magánszemély,2017. 09.,160 030 km,5 490 000 Ft
KIA  Venga,Venga 1.6 CVVT Navi Aut.,Magánszemély,(III. kerület),Minősített magánszemély,2019. 03.,70 300 km,5 390 000 Ft
BMW  X5,X5 xDrive30d Aut.,Magánszemély,(Esztergom),Minősített magánszemély,2011. 06.,248 000 km,5 500 000 Ft
DACIA  Duster,Duster 1.6 SCe Prestige EURO6.2 4WD,Magánszemély,(Kisvárda),Minősített magánszemély,2018. 11.,96 354 km,4 990 000 Ft
KIA  Sportage,Sportage 2.0 CRDi EX 4x4 Aut.,Magánszemély,(XIII. kerület),Minősített magánszemély,2015. 12.,154 900 km,5 599 999 Ft
VOLKSWAGEN  Golf,Golf Variant 1.6 TDI BMT Comfortline,Magánszemély,(Kétegyháza),Minősített magánszemély,2018. 01.,183 000 km,5 499 000 Ft
RENAULT  Scénic,Scénic 1.6 dCi Zen,Magánszemély,(Ajka),Minősített magánszemély,2017. 07.,89 795 km,5 890 000 Ft
FIAT  500L,500L 1.6 Mjet 16V Lounge Stop&Start,Magánszemély,(Székesfehérvár),Minősített magánszemély,2020. 02.,27 000 km,5 899 000 Ft
MAZDA  Mazda 6,Mazda 6 Sportkombi 2.2 CD AWD Revolution Top SD Aut.,Magánszemély,(Sármellék),Minősített magánszemély,2015. 11.,118 000 km,5 980 000 Ft
KIA  Stonic,Stonic 1.25 MPI EX Limited +Komfort 5 ajtós 84LE,Magánszemély,(Gyömrő),Minősített magánszemély,2020. 01.,19 000 km,5 750 000 Ft
OPEL  Mokka X,"Innovation D 1,4 NET, 140 LE Automata",Magánszemély,(III. kerület),Minősített magánszemély,2019. 01.,57 300 km,5 999 000 Ft
FORD  S-Max,S-Max 2.0 TDCi Titanium Powershift,Magánszemély,(Ajka),Minősített magánszemély,2016. 11.,166 500 km,6 249 000 Ft
KIA  Carens,Carens 1.6 GDI EX Prémium [7 személy],Magánszemély,(Kozármisleny),Minősített magánszemély,2017. 12.,121 489 km,6 299 000 Ft
SUZUKI  Vitara,Vitara 1.4 Hybrid GLX,Magánszemély,(Drávaiványi),Minősített magánszemély,2020. 03.,37 600 km,6 390 000 Ft
MAZDA  CX-3,CX-3 2.0i Revolution,Magánszemély,(Kecskemét),Minősített magánszemély,2017. 03.,61 000 km,6 425 000 Ft
VOLKSWAGEN  Golf,Golf 1.4 TSI GTE Plug-In-Hybrid,Magánszemély,(Debrecen),Minősített magánszemély,2015. 04.,130 900 km,6 199 000 Ft
KIA  Sportage,Sportage 1.6 GDI Winter Edition,Magánszemély,(Kiskunfélegyháza),Minősített magánszemély,2017. 07.,178 800 km,6 590 000 Ft
TOYOTA  Aygo X,Aygo X 1.0 VVT-i Executive CVT,Magánszemély,(IV. kerület),Minősített magánszemély,2022. 04.,2 100 km,6 600 000 Ft
CITROEN  C4 Grand Spacetourer,C4 Grand Spacetourer 1.2 PureTech Feel S&S E6.3 (7 sz.),Magánszemély,(Dabas),Minősített magánszemély,2019. 11.,61 000 km,6 899 000 Ft
VOLVO  V40,V40 1.5 [T3] R-Design Geartronic,Magánszemély,(Kalocsa),Minősített magánszemély,2019. 08.,186 700 km,6 750 000 Ft
HONDA  Civic,Civic 1.0 T Elegance Navi,Magánszemély,(IV. kerület),Minősített magánszemély,2017. 03.,50 556 km,6 990 000 Ft
FORD  Mondeo,Mondeo 2.0 EcoBlue Business,Magánszemély,(Érd),Minősített magánszemély,2019. 02.,128 000 km,6 999 999 Ft
PEUGEOT  508,508 1.5 BlueHDi Active,Magánszemély,(Székesfehérvár),Minősített magánszemély,2019. 11.,170 632 km,6 999 999 Ft
HYUNDAI  Tucson,Tucson 1.6 T-GDi Executive,Magánszemély,(Dunaújváros),Minősített magánszemély,2016. 09.,76 181 km,7 199 000 Ft
SEAT  Leon,Leon ST 2.0 TSI Cupra Start&Stop,Magánszemély,(XIII. kerület),Minősített magánszemély,2016. 02.,155 000 km,7 299 999 Ft
KIA  Cee'd,Ceed 1.4 T-GDI Launch Edition,Magánszemély,(Iváncsa),Minősített magánszemély,2019. 12.,70 845 km,7 500 000 Ft
KIA  Sportage,Sportage 1.6 T-GDI Winter Edition,Magánszemély,(Szolnok),Minősített magánszemély,2019. 04.,49 500 km,7 550 000 Ft
OPEL  Combo,Combo Life 1.5 CDTI Edition (7 sz.),Magánszemély,(Lovas),Minősített magánszemély,2019. 12.,61 245 km,7 600 000 Ft
MAZDA  CX-5,CX-5 2.2 CD Revolution Top AWD,Magánszemély,(Fertőd),Minősített magánszemély,2018. 11.,174 000 km,7 890 000 Ft
SKODA  Superb,Superb 2.0 TSI L&K 4x4 DSG,Magánszemély,(Nyíregyháza),Minősített magánszemély,2016. 05.,197 500 km,7 900 000 Ft
AUDI  A3,Rs3,Magánszemély,(XI. kerület),Minősített magánszemély,2012. 11.,195 000 km,7 950 000 Ft
JEEP  Compass,Compass 2.0 Mjet Limited 4WD Aut.,Magánszemély,(Komárom),Minősített magánszemély,2017. 11.,125 000 km,6 799 000 Ft
SUZUKI  Vitara,Vitara 1.4 Hybrid GLX 4WD,Magánszemély,(Porcsalma),Minősített magánszemély,2020. 06.,13 800 km,8 150 000 Ft
SEAT  Leon,Leon ST 2.0 TSI Cupra Start&Stop DSG,Magánszemély,(Lenti),Minősített magánszemély,2016. 12.,100 800 km,8 190 000 Ft
AUDI  A7,A7 Sportback 3.0 V6 TDI DPF quattro tiptronic [5 személy],Magánszemély,(Tokodaltáró),Minősített magánszemély,2012. 09.,320 000 km,8 290 000 Ft
MERCEDES-BENZ  A-osztály,A 200 AMG Line,Magánszemély,(X. kerület),Minősített magánszemély,2016. 05.,59 267 km,8 290 000 Ft
HYUNDAI  Ioniq,Ioniq plug-in 1.6 GDi Comfort Navi DCT,Magánszemély,(XVI. kerület),Minősített magánszemély,2019. 05.,48 000 km,790 000 Ft
MERCEDES-BENZ  CLA-osztály,CLA 200 CDI/d AMG Sport 7G-DCT,Magánszemély,(Dunakeszi),Minősített magánszemély,2018. 08.,149 000 km,8 490 000 Ft
TOYOTA  Corolla,Corolla Touring Sports 1.8 Hybrid Active e-CVT,Magánszemély,(Pécs),Nem minősített eladó,2019. 08.,20 829 km,8 499 999 Ft
SKODA  Superb,Superb 2.0 TDi SCR Style DSG7,Magánszemély,(Eger),Minősített magánszemély,2019. 06.,57 900 km,8 600 000 Ft
SKODA  Superb,Superb Combi 2.0 TSI L&K DSG,Magánszemély,(Tatabánya),Minősített magánszemély,2018. 02.,121 000 km,8 750 000 Ft
MERCEDES-BENZ  GLA-osztály,GLA 200 CDI/d 4Matic 7G-DCT,Magánszemély,(Nagykanizsa),Minősített magánszemély,2015. 05.,150 000 km,8 750 000 Ft
RENAULT  Koleos,Koleos 2.0 dCi Initiale Paris CVT 4x4,Magánszemély,(Dunaharaszti),Minősített magánszemély,2017. 11.,116 500 km,8 790 000 Ft
KIA  Sportage,Sportage 1.6 CRDI HP Platinum DCT,Magánszemély,(Sátoraljaújhely),Minősített magánszemély,2019. 02.,63 250 km,8 950 000 Ft
SKODA  Octavia,Octavia 2.0 TSI RS,Magánszemély,(Dunakeszi),Minősített magánszemély,2018. 04.,129 857 km,8 690 000 Ft
VOLKSWAGEN  Arteon,Arteon 2.0 TDI SCR Elegance DSG,Magánszemély,(Páty),Minősített magánszemély,2018. 07.,191 000 km,8 499 000 Ft
OPEL  Combo,Combo Life 1.5 CDTI Enjoy (7 sz.),Magánszemély,(Sóskút),Minősített magánszemély,2020. 04.,39 399 km,8 999 999 Ft
OPEL  Combo,Combo Life 1.2 T Enjoy (7 sz.),Magánszemély,(Kápolna),Minősített magánszemély,2019. 11.,29 910 km,9 400 000 Ft
JAGUAR  XE,XE 2.0 l4D Prestige AWD Aut.,Magánszemély,(Sződliget),Minősített magánszemély,2019. 08.,87 000 km,8 990 000 Ft
MERCEDES-BENZ  C-osztály,C 220 T d 4Matic 9G-TRONIC,Magánszemély,(Győr),Minősített magánszemély,2018. 10.,122 000 km,8 990 000 Ft
SEAT  Tarraco,Tarraco 1.5 EcoTSI EVO Style [7 személy],Magánszemély,(Tatabánya),Minősített magánszemély,2020. 10.,16 500 km,9 700 000 Ft
SSANGYONG  Rexton,Rexton 2.2 e-XDI Style 2WD (7 sz.),Magánszemély,(Jászboldogháza),Minősített magánszemély,2019. 08.,63 000 km,9 490 000 Ft
MERCEDES-BENZ  A-osztály,A 180 d AMG Line 7G-DCT,Magánszemély,(X. kerület),Nem minősített eladó,2019. 07.,98 450 km,10 490 000 Ft
