infos
153 401 km,125 LE,1395 cm3,Benzin,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Manuális
153 401 km,125 LE,1395 cm3,Benzin,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Manuális
195 380 km,115 LE,1598 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
146 929 km,120 LE,1499 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
129 683 km,86 LE,1499 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
133 153 km,86 LE,1499 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
156 394 km,112 LE,1598 cm3,Dízel,Egyterű,Használt,Eladó,5 ajtós,7 fő,Manuális
39 000 km,95 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
137 612 km,120 LE,1499 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
74 266 km,83 LE,1199 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
74 215 km,83 LE,1199 cm3,Benzin,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
123 000 km,101 LE,999 cm3,Benzin,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
10 223 km,101 LE,999 cm3,Benzin,Kishaszon,Használt,Eladó,5 ajtós,5 fő,Manuális
152 278 km,140 LE,1956 cm3,Dízel,Crossover,Használt,Eladó,5 ajtós,5 fő,Tiptronic
126 728 km,125 LE,1591 cm3,Benzin,Egyterű,Használt,Eladó,5 ajtós,5 fő,Manuális
133 000 km,150 LE,1968 cm3,Dízel,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Automata
175 359 km,116 LE,1598 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
162 639 km,110 LE,1598 cm3,Dízel,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
162 273 km,116 LE,1598 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
48 916 km,75 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
127 414 km,115 LE,1598 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Fokozatmentes
141 940 km,130 LE,1598 cm3,Benzin,Egyterű,Használt,Eladó,5 ajtós,5 fő,Manuális
11 756 km,88 LE,1242 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,4 fő,Manuális
100 498 km,102 LE,1499 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,2 fő,Manuális
169 365 km,99 LE,1329 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
169 365 km,99 LE,1329 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
100 498 km,102 LE,1499 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,2 fő,Manuális
74 000 km,122 LE,1395 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
197 000 km,95 LE,1499 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
154 964 km,112 LE,1598 cm3,Dízel,Egyterű,Használt,Eladó,5 ajtós,7 fő,Manuális
10 590 km,84 LE,1197 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
