	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
13823	VOLKSWAGEN  Caddy	Caddy 1.6 CR TDI Life Trendline 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2013. 03.	239 500 km	3 890 000 Ft	239 500 km	102 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13824	FIAT  Tipo	Tipo 1.4 16V Pop 	Tormási Autóház	(Kecskemét)	Márkakereskedő	2017. 05.	125 805 km	3 890 000 Ft	125 805 km	95 LE	1368 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13825	SKODA  Fabia	FABIA 1.0 MPI Ambition MO-i gépjármű/Garantált 44e km/Első tulajtól/ÁFÁ-S/2 év garancia!	Business Lease Hungary Kft.	(Budaörs)	Minősített Prémium kereskedő	2019. 07.	44 411 km	3 890 000 Ft	44 411 km	73 LE	999 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13826	OPEL  Astra	Astra 1.6 CDTI Enjoy 	Cartecum - Autoalegjobbaron.hu	(Budaörs)	Minősített Prémium kereskedő	2016. 05.	158 620 km	3 895 000 Ft	158 620 km	110 LE	1598 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13827	MERCEDES-BENZ  B-osztály	B 180 BlueEFFICIENCY 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2012. 06.	234 051 km	3 899 000 Ft	234 051 km	122 LE	1595 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13828	SUZUKI  Baleno	Baleno 1.2 GL CVT 	MLV-Car Sales Kft.	(XVIII. kerület)	Minősített Prémium kereskedő	2016. 11.	59 916 km	3 899 999 Ft	59 916 km	90 LE	1242 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
13829	KIA  Cee'd	Pro Cee'd 1.4 CRDI EX Limited  	RoyalCar Autoker Kft.	(Szombathely)	Minősített Prémium kereskedő	2015. 03.	46 952 km	3 899 999 Ft	46 952 km	88 LE	1396 cm3	Dízel	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13830	PEUGEOT  Boxer	Boxer 2.2 HDi 350 FT L2H2 Active 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2016. 08.	143 000 km	3 937 000 Ft  + Áfa	143 000 km	131 LE	2198 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13831	TOYOTA  Aygo	Aygo 1.0 x+comfort 	Xpertcar Kft.	(Gyöngyös)	Minősített Prémium kereskedő	2019. 04.	23 000 km	3 950 000 Ft	23 000 km	72 LE	998 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	4 fő	Manuális
13832	VOLVO  C70	C70 2.5 T5 Summum Geartronic 	Bécsi Autópark Kft.	(III. kerület)	Minősített Prémium kereskedő	2008. 09.	127 369 km	3 980 000 Ft	127 369 km	230 LE	2521 cm3	Benzin	Kabrió	Használt	Eladó	2 ajtós	4 fő	Tiptronic
13833	BMW  1-es sorozat	118d 	Bázis Autó	(Hódmezővásárhely)	Minősített Prémium kereskedő	2014. 06.	123 655 km	3 980 000 Ft	123 655 km	143 LE	1995 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
