	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
13201	RENAULT  Scénic	Grand Scénic 1.5 dCi Expression (7 személyes ) 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2011. 11.	290 500 km	1 290 000 Ft	290 500 km	110 LE	1461 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
13202	RENAULT  Clio	Clio 1.2 16V Expression 	Roli-Car Kft.	(Miskolc)	Minősített Prémium kereskedő	2006. 08.	175 000 km	1 290 000 Ft	175 000 km	75 LE	1149 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13203	OPEL  Corsa	Corsa 1.2 Enjoy 	Tipp Autó	(Debrecen)	Márkakereskedő	2009. 02.	163 996 km	1 290 000 Ft	163 996 km	80 LE	1229 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13204	HYUNDAI  Santa Fe	Santa Fe 2.0 CRDi Active 2WD 	L.P.L Autó Kft.	(Botykapeterd)	Minősített Prémium kereskedő	2004. 06.	194 000 km	1 298 000 Ft	194 000 km	112 LE	1991 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
13205	VOLKSWAGEN  Passat	Passat Variant 1.9 PD TDI Comfortline 	L.P.L Autó Kft.	(Botykapeterd)	Minősített Prémium kereskedő	2005. 04.	260 000 km	1 298 000 Ft	260 000 km	101 LE	1896 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13206	DACIA  Logan	Logan 1.2 Access 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2011. 09.	67 067 km	1 299 000 Ft	67 067 km	75 LE	1149 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13207	VOLKSWAGEN  Passat	Passat 1.9 PD TDI Business 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2004. 06.	292 561 km	1 299 000 Ft	292 561 km	131 LE	1896 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13208	PEUGEOT  307	307 CC 1.6 	Xpertcar Kft.	(Gyöngyös)	Minősített Prémium kereskedő	2004. 03.	202 000 km	1 299 000 Ft	202 000 km	109 LE	1587 cm3	Benzin	Kabrió	Használt	Eladó	2 ajtós	4 fő	Manuális
13209	SEAT  Ibiza	Ibiza 1.4 16V Sportline 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2006. 05.	174 000 km	1 299 000 Ft	174 000 km	75 LE	1390 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13210	RENAULT  Clio	Clio 1.2 16V Cinetic 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2008. 10.	186 145 km	1 299 000 Ft	186 145 km	75 LE	1149 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13211	FORD  Fiesta	Fiesta 1.3 Ambiente 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2008. 04.	50 000 km	1 299 000 Ft	50 000 km	69 LE	1299 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13212	FORD  Focus	Focus 1.6 Ghia 	3G Car Kft.	(Nyíregyháza)	Minősített Prémium kereskedő	2006. 12.	200 800 km	1 299 500 Ft	200 800 km	101 LE	1596 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13213	FORD  Fusion	Fusion 1.4 Ambiente 	Korekt-Autó Kft.	(Sopron)	Minősített Prémium kereskedő	2009. 01.	204 000 km	1 320 000 Ft	204 000 km	80 LE	1388 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13214	FORD  Mondeo	Mondeo 1.6 TDCi Ambiente 	Origi Autó	(Nyíregyháza)	Minősített Prémium kereskedő	2011. 08.	384 100 km	1 340 000 Ft	384 100 km	116 LE	1560 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13215	OPEL  Astra	Astra 1.6 Cosmo 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2005. 04.	180 772 km	1 349 000 Ft	180 772 km	105 LE	1598 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13216	OPEL  Astra	Astra 1.7 CDTI GTC Cosmo 	Master Car	(Szolnok)	Minősített Prémium kereskedő	2008. 11.	148 989 km	1 349 000 Ft	148 989 km	125 LE	1686 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	3 ajtós	5 fő	Manuális
13217	OPEL  Vectra	Vectra 1.6 Essentia 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2006. 07.	161 041 km	1 350 000 Ft	161 041 km	105 LE	1598 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13218	SUZUKI  Swift	Swift 1.3 GLX 	Roli-Car Kft.	(Miskolc)	Minősített Prémium kereskedő	2006. 02.	154 000 km	1 370 000 Ft	154 000 km	92 LE	1328 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13219	NISSAN  Note	Note 1.6 Tekna 	Korekt-Autó Kft.	(Sopron)	Minősített Prémium kereskedő	2006. 10.	190 000 km	1 380 000 Ft	190 000 km	110 LE	1598 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13220	SEAT  Altea	Altea 1.6 MPI Reference 	Autó Lenti & Helikon Autó	(Lenti)	Minősített Prémium kereskedő	2004. 08.	219 000 km	1 380 000 Ft	219 000 km	102 LE	1595 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13221	OPEL  Zafira	Zafira 1.9 DTI Enjoy 	3G Car Kft.	(Nyíregyháza)	Minősített Prémium kereskedő	2007. 06.	242 609 km	1 390 000 Ft	242 609 km	120 LE	1910 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
13222	NISSAN  Micra	Micra 1.2 Visia 	Borongics Kft.	(Balatonboglár)	Márkakereskedő	2009. 11.	137 500 km	1 390 000 Ft	137 500 km	65 LE	1240 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13223	OPEL  Vectra	Vectra 1.8 Comfort 	Bázis Autó	(Hódmezővásárhely)	Minősített Prémium kereskedő	2002. 07.	187 404 km	1 390 000 Ft	187 404 km	122 LE	1796 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13224	OPEL  Astra	Astra Caravan 1.6 Cosmo 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2006. 12.	198 805 km	1 395 000 Ft	198 805 km	105 LE	1598 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13225	PEUGEOT  308	308 1.4 VTi Confort 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2009. 11.	214 376 km	1 399 000 Ft	214 376 km	95 LE	1397 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13226	PEUGEOT  Partner	Partner 1.6 Husky 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2004. 02.	182 082 km	1 399 000 Ft	182 082 km	109 LE	1587 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13227	OPEL  Meriva	Meriva 1.6 16V Enjoy 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2006. 09.	180 503 km	1 399 000 Ft	180 503 km	105 LE	1598 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13228	RENAULT  Mégane	Mégane Grandtour 1.6 Dynamique 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2007. 09.	172 449 km	1 399 000 Ft	172 449 km	112 LE	1598 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13229	VOLKSWAGEN  Sharan	Sharan 1.9 PD TDI Comfortline 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2004. 09.	394 955 km	1 399 000 Ft	394 955 km	116 LE	1896 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
13230	OPEL  Astra	Astra Caravan 1.6 Enjoy 	Roli-Car Kft.	(Miskolc)	Minősített Prémium kereskedő	2006. 12.	211 000 km	1 399 000 Ft	211 000 km	105 LE	1598 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13231	PEUGEOT  Partner	Partner 1.6 Husky 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2004. 02.	182 082 km	1 399 000 Ft	182 082 km	109 LE	1587 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13232	FORD  Focus	Focus 1.6 Comfort 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2005. 07.	120 000 km	1 399 000 Ft	120 000 km	101 LE	1596 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13233	OPEL  Meriva	Meriva 1.3 DTI Enjoy	Pantokrator Car Kft.	(Vác)	Minősített Prémium kereskedő	2009. 01.	172 131 km	1 399 000 Ft	172 131 km	75 LE	1248 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13234	FORD  Focus	Focus 1.6 Ambiente 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2007. 04.	159 000 km	1 399 000 Ft	159 000 km	101 LE	1596 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13235	MITSUBISHI  Colt	Colt 1.3 Inform AC 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2005. 12.	187 119 km	1 399 000 Ft	187 119 km	95 LE	1332 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13236	PEUGEOT  Expert	Expert FT 290 2.0 HDi L2H2 	Borongics Kft.	(Balatonboglár)	Márkakereskedő	2008. 03.	300 000 km	1 450 000 Ft  + Áfa	300 000 km	120 LE	1997 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13237	SAAB  9-3	9-3 1.8 i Linear 	Korekt-Autó Kft.	(Sopron)	Minősített Prémium kereskedő	2007. 02.	209 000 km	1 480 000 Ft	209 000 km	122 LE	1796 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13238	VOLKSWAGEN  Touran	Touran 1.6 Trendline 	Bécsi Autópark Kft.	(III. kerület)	Minősített Prémium kereskedő	2004. 07.	201 498 km	1 480 000 Ft	201 498 km	102 LE	1595 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13239	FIAT  Croma	Croma 1.8 16V Dynamic 	Korekt-Autó Kft.	(Sopron)	Minősített Prémium kereskedő	2010. 08.	155 000 km	1 480 000 Ft	155 000 km	140 LE	1796 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13240	CHEVROLET  Lacetti	Lacetti 2.0 D Elite AC	Xpertcar Kft.	(Gyöngyös)	Minősített Prémium kereskedő	2009. 05.	125 579 km	1 480 000 Ft	125 579 km	121 LE	1991 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13241	FIAT  Panda	Panda 1.4 100 HP 	3G Car Kft.	(Nyíregyháza)	Minősített Prémium kereskedő	2007. 04.	145 000 km	1 490 000 Ft	145 000 km	101 LE	1368 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	4 fő	Manuális
13242	SUZUKI  SX4	SX4 1.5 GC AC 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2007. 11.	236 231 km	1 490 000 Ft	236 231 km	99 LE	1490 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13243	SMART  Roadster	Roadster 0.7 Softip 	Zemandia Autoland	(Kiskunfélegyháza)	Minősített Prémium kereskedő	2003. 08.	106 538 km	1 490 000 Ft	106 538 km	82 LE	698 cm3	Benzin	Kabrió	Használt	Eladó	2 ajtós	2 fő	Automatizált
13244	SMART  Fortwo	FORTWO CABRIO 1.0 Passion Softouch Klíma Fordulatszámmérő Elektromos tető!	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2007. 12.	190 411 km	1 490 000 Ft	190 411 km	83 LE	999 cm3	Benzin	Kabrió	Használt	Eladó	2 ajtós	2 fő	Automata
13246	BMW  5-ös sorozat	525d (Automata) 	Roli-Car Kft.	(Miskolc)	Minősített Prémium kereskedő	2004. 12.	528 000 km	1 490 000 Ft	528 000 km	163 LE	2497 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Tiptronic
13247	FORD  Fiesta	Fiesta 1.4 TDCi Trend 	Borongics Kft.	(Balatonboglár)	Márkakereskedő	2012. 01.	202 000 km	1 490 000 Ft	202 000 km	69 LE	1399 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13248	SKODA  Octavia	Octavia Combi 4x4 1.9 PD TDi Elegance DPF 	L.P.L Autó Kft.	(Botykapeterd)	Minősített Prémium kereskedő	2006. 03.	287 000 km	1 498 000 Ft	287 000 km	105 LE	1896 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13249	CITROEN  Xsara Picasso	Xsara Picasso 1.6 Elit 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2008. 09.	162 991 km	1 499 000 Ft	162 991 km	95 LE	1587 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13250	OPEL  Meriva	Meriva 1.6 16V Cosmo 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2008. 01.	199 000 km	1 499 000 Ft	199 000 km	105 LE	1598 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13251	SKODA  Fabia	Fabia Combi 1.2 6V Classic 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2009. 12.	162 773 km	1 499 000 Ft	162 773 km	60 LE	1198 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13252	OPEL  Astra	Astra Coupe 2.2 DTI 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2003. 04.	217 233 km	1 499 000 Ft	217 233 km	125 LE	2172 cm3	Dízel	Kupé	Használt	Eladó	2 ajtós	4 fő	Manuális
13253	FORD  Focus	Focus 1.8 FFV Ghia 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2007. 09.	168 836 km	1 499 000 Ft	168 836 km	125 LE	1798 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13254	CITROEN  C3	C3 1.4 Comfort ABS 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2008. 02.	162 636 km	1 499 000 Ft	162 636 km	73 LE	1360 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13255	RENAULT  Thalia	Thalia 1.2 Expression 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2010. 08.	74 000 km	1 499 000 Ft	74 000 km	75 LE	1149 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13256	MAZDA  B-sorozat	B 1600 BILLENCS	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	1983. 11.	131 135 km	1 499 000 Ft	131 135 km	71 LE	1586 cm3	Benzin	Kishaszon	Használt	Eladó	2 ajtós	3 fő	Manuális
13257	DACIA  Logan	Logan MCV 1.4 Access 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2009. 10.	104 284 km	1 499 000 Ft	104 284 km	75 LE	1390 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13258	VOLKSWAGEN  Golf	Golf 1.6 Trendline (Automata) 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2004. 06.	199 000 km	1 499 000 Ft	199 000 km	102 LE	1595 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13259	MERCEDES-BENZ  A-osztály	A 150 Classic 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2007. 06.	135 836 km	1 499 000 Ft	135 836 km	95 LE	1498 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13260	KIA  K2500	K2500 2.5 D 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2003. 08.	245 546 km	1 500 000 Ft  + Áfa	245 546 km	94 LE	2476 cm3	Dízel	Kishaszon	Használt	Eladó	2 ajtós	3 fő	Manuális
13261	OPEL  Zafira	Zafira 1.8 Fantasy 	Bázis Autó	(Hódmezővásárhely)	Minősített Prémium kereskedő	2005. 04.	218 890 km	1 545 000 Ft	218 890 km	125 LE	1796 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
13262	HYUNDAI  Santa Fe	Santa Fe 2.0 CRDi GLS 4WD (Automata) 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2004. 08.	203 750 km	1 549 000 Ft	203 750 km	125 LE	1991 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Automata
13263	HYUNDAI  Santa Fe	Santa Fe 2.0 CRDi GLS 4WD (Automata) 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2004. 08.	203 750 km	1 549 000 Ft	203 750 km	125 LE	1991 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Automata
13264	NISSAN  Micra	Micra 1.2 Visia 	Origi Autó	(Nyíregyháza)	Minősített Prémium kereskedő	2009. 07.	143 841 km	1 580 000 Ft	143 841 km	65 LE	1240 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13265	MERCEDES-BENZ  A-osztály	A 170 Elegance 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2006. 06.	128 500 km	1 585 000 Ft	128 500 km	116 LE	1699 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13266	SKODA  Fabia	Fabia Combi 1.2 CR Tdi Active 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2011. 06.	190 500 km	1 590 000 Ft	190 500 km	75 LE	1199 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13267	VOLKSWAGEN  Jetta	JETTA 1.6 Comfortline Magyar 1tulaj 2z digitklíma 4x elablak	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2007. 10.	236 051 km	1 590 000 Ft	236 051 km	100 LE	1595 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13268	FORD  Focus	Focus Coupe Cabriolet 2.0 Sport 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2007. 12.	199 900 km	1 590 000 Ft	199 900 km	146 LE	1999 cm3	Benzin	Kabrió	Használt	Eladó	2 ajtós	4 fő	Manuális
13269	SKODA  Octavia	OCTAVIA 2.0 PD TDI Elegance Magyar 1tulaj 2z digitklíma Vezetett szervizkönyv	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2004. 11.	265 130 km	1 590 000 Ft	265 130 km	138 LE	1968 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13270	BMW  3-as sorozat	316ti Compact 	Vorenus Kft.	(Nyíregyháza)	Minősített Prémium kereskedő	2003. 02.	196 000 km	1 590 000 Ft	196 000 km	116 LE	1796 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	3 ajtós	5 fő	Manuális
13271	AUDI  A4	A4 Avant 1.9 PD TDi DPF 	Autó West Wind Kft.	(XI. kerület)	Minősített Prémium kereskedő	2007. 09.	272 616 km	1 590 000 Ft	272 616 km	116 LE	1896 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13272	KIA  Cee'd	Cee'd SW 1.6 CRDi EX Limited Plus 	Autó West Wind Kft.	(XI. kerület)	Minősített Prémium kereskedő	2009. 06.	227 000 km	1 590 000 Ft	227 000 km	116 LE	1582 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13273	RENAULT  Laguna	Laguna 1.5 dCi Expression 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2010. 03.	292 500 km	1 590 000 Ft	292 500 km	110 LE	1461 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13274	FORD  Fiesta	Fiesta Van 1.5 TDCi Trend 	Cartecum - Autoalegjobbaron.hu	(Budaörs)	Minősített Prémium kereskedő	2014. 01.	255 007 km	1 595 000 Ft  + Áfa	255 007 km	75 LE	1498 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
13275	FORD  Transit	TRANSIT 2.2 TDCi 280 M MAGYARORSZÁGI - 3 FŐS TEHERGÉPKOCSI - 206e KM FUTÁS!	Roland-Autó Kft.	(Edelény)	Minősített Prémium kereskedő	2008. 01.	206 173 km	1 598 000 Ft  + Áfa	206 173 km	108 LE	2198 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13276	LANCIA  Delta	Delta 1.6 Mjet Argento 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2010. 05.	235 716 km	1 599 000 Ft	235 716 km	120 LE	1598 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13277	MERCEDES-BENZ  C-osztály	C 220 CDI Avantgarde 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2001. 09.	290 881 km	1 599 000 Ft	290 881 km	143 LE	2148 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13278	RENAULT  Clio	Clio 1.2 16V Expression 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2008. 11.	151 373 km	1 599 000 Ft	151 373 km	75 LE	1149 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13279	TOYOTA  Corolla	Corolla 1.6 Luna 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2005. 03.	187 686 km	1 599 000 Ft	187 686 km	110 LE	1598 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13280	RENAULT  Clio	Clio Grandtour 1.2 TCE Dynamique 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2011. 04.	125 000 km	1 599 000 Ft	125 000 km	103 LE	1149 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13281	MAZDA  Mazda 2	Mazda 2 1.3 CE Plus 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2009. 02.	186 024 km	1 599 000 Ft	186 024 km	75 LE	1349 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13282	HYUNDAI  i20	i20 1.25 DOHC Comfort 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2009. 10.	157 000 km	1 599 000 Ft	157 000 km	78 LE	1248 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13283	MERCEDES-BENZ  B-osztály	B 180 CDI Autotronic 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2006. 11.	75 000 km	1 599 000 Ft	75 000 km	109 LE	1991 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
13284	OPEL  Astra	Astra 1.6 GTC Enjoy 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2007. 08.	116 000 km	1 599 000 Ft	116 000 km	105 LE	1598 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
13285	HYUNDAI  i30	i30 CW 1.4 DOHC Classic AC Plus ISG 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2009. 06.	189 000 km	1 599 000 Ft	189 000 km	109 LE	1396 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13286	MITSUBISHI  Colt	Colt 1.3 Insport	Pantokrator Car Kft.	(Vác)	Minősített Prémium kereskedő	2007. 07.	128 559 km	1 599 000 Ft	128 559 km	95 LE	1332 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13287	MERCEDES-BENZ  C-osztály	C 220 CDI Avantgarde 	Anda Good Mobil kft.	(Kecskemét)	Minősített Prémium kereskedő	2001. 09.	290 881 km	1 599 000 Ft	290 881 km	143 LE	2148 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Manuális
13288	KIA  Cee'd	Cee'd SW 1.6 TX 	JL Autó Kft.	(Érd)	Minősített Prémium kereskedő	2011. 01.	253 000 km	1 599 000 Ft	253 000 km	125 LE	1591 cm3	Benzin/Gáz	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13289	TOYOTA  Yaris	Yaris 1.4 D-4D Terra 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2008. 09.	219 838 km	1 599 000 Ft	219 838 km	90 LE	1364 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13290	OPEL  Corsa	Corsa 1.3 CDTI Enjoy 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2008. 05.	91 308 km	1 599 000 Ft	91 308 km	75 LE	1248 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13291	CITROEN  C3 Picasso	C3 Picasso 1.4 VTi Exclusive 	Autófókusz Kft.	(Szombathely)	Márkakereskedő	2009. 06.	132 750 km	1 599 900 Ft	132 750 km	95 LE	1397 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
13292	MAZDA  Mazda 3	Mazda 3 Sport 1.4 CE 	Körös Autócentrum Kft.	(Békéscsaba)	Márkakereskedő	2008. 05.	91 000 km	1 600 000 Ft	91 000 km	84 LE	1349 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13293	BMW  5-ös sorozat	530xd Touring (Automata) 	Opel Debrecen	(Debrecen)	Márkakereskedő	2006. 10.	421 516 km	1 600 000 Ft	421 516 km	231 LE	2993 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13294	SUZUKI  Splash	Splash 1.0 GC AC 	Xpertcar Kft.	(Gyöngyös)	Minősített Prémium kereskedő	2009. 05.	123 000 km	1 630 000 Ft	123 000 km	65 LE	996 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13295	DACIA  Sandero	Sandero 0.9 TCe Arctic 	Korekt-Autó Kft.	(Sopron)	Minősített Prémium kereskedő	2013. 01.	123 000 km	1 640 000 Ft	123 000 km	90 LE	898 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13296	RENAULT  Kangoo	Kangoo Express 1.5 dCi Komfort 	Cartecum - Autoalegjobbaron.hu	(Budaörs)	Minősített Prémium kereskedő	2010. 08.	190 678 km	1 645 000 Ft  + Áfa	190 678 km	90 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	2 fő	Manuális
